run_id,production_date,shift_id,machine_id,product_id,operator_id,planned_time_min,run_time_min,total_count,good_count,scrap_count
RUN00075,2024-07-03,T1,M09,P03,OP10,480,403,2259,2233,26
RUN00076,2024-07-03,T1,M10,P03,OP07,480,388,1245,1245,0
RUN00077,2024-07-03,T1,M11,P01,OP13,480,401,919,903,16
RUN00078,2024-07-03,T1,M12,P01,OP04,480,270,473,447,26
RUN00079,2024-07-03,T2,M01,P05,OP05,480,391,1930,1921,9
RUN00080,2024-07-03,T2,M02,P02,OP17,480,378,1752,1702,50
RUN00081,2024-07-03,T2,M04,P03,OP14,480,377,1012,929,83
RUN00082,2024-07-03,T2,M05,P03,OP02,480,434,3186,3009,177
RUN00083,2024-07-03,T2,M06,P05,OP08,480,391,4026,3969,57
RUN00084,2024-07-03,T2,M07,P04,OP05,480,404,1434,1434,0
RUN00085,2024-07-03,T2,M08,P03,OP02,480,341,1271,1179,92
RUN00086,2024-07-03,T2,M09,P01,OP11,480,374,2227,2213,14
RUN00087,2024-07-03,T2,M10,P03,OP11,480,375,1110,1038,72
RUN00088,2024-07-03,T2,M11,P02,OP02,480,407,966,966,0
RUN00089,2024-07-03,T2,M12,P04,OP05,480,317,528,490,38
RUN00090,2024-07-03,T3,M02,P05,OP06,480,309,1399,1333,66
RUN00091,2024-07-03,T3,M04,P01,OP12,480,378,969,927,42
RUN00092,2024-07-03,T3,M05,P02,OP06,480,429,2935,2935,0
RUN00093,2024-07-03,T3,M06,P04,OP03,480,335,3657,3606,51
RUN00094,2024-07-03,T3,M07,P05,OP03,480,354,1241,1159,82
RUN00095,2024-07-03,T3,M08,P03,OP18,480,341,1285,1258,27
RUN00096,2024-07-03,T3,M09,P05,OP09,480,469,2401,2399,2
RUN00097,2024-07-03,T3,M10,P04,OP18,480,411,1213,1144,69
RUN00098,2024-07-03,T3,M11,P04,OP06,480,415,938,938,0
RUN00099,2024-07-03,T3,M12,P01,OP18,480,366,663,609,54
RUN00100,2024-07-04,T1,M01,P03,OP01,480,396,1768,1670,98
RUN00101,2024-07-04,T1,M03,P03,OP01,480,436,1203,1161,42
RUN00102,2024-07-04,T1,M04,P02,OP04,480,362,911,890,21
RUN00103,2024-07-04,T1,M05,P04,OP07,480,439,3167,3109,58
RUN00104,2024-07-04,T1,M06,P01,OP16,480,413,4580,4342,238
RUN00105,2024-07-04,T1,M08,P03,OP07,480,380,1310,1216,94
RUN00106,2024-07-04,T1,M09,P03,OP04,480,395,2149,2098,51
RUN00107,2024-07-04,T1,M10,P05,OP01,480,398,1174,1071,103
RUN00108,2024-07-04,T1,M11,P03,OP13,480,332,731,693,38
RUN00109,2024-07-04,T1,M12,P02,OP01,480,361,653,618,35
RUN00110,2024-07-04,T2,M01,P01,OP05,480,371,1764,1764,0
RUN00111,2024-07-04,T2,M02,P01,OP08,480,345,1534,1463,71
RUN00112,2024-07-04,T2,M03,P03,OP14,480,356,954,931,23
RUN00113,2024-07-04,T2,M04,P01,OP08,480,383,993,925,68
RUN00114,2024-07-04,T2,M05,P03,OP05,480,390,2925,2925,0
RUN00115,2024-07-04,T2,M06,P01,OP17,480,376,4122,4072,50
RUN00116,2024-07-04,T2,M07,P02,OP11,480,416,1507,1451,56
RUN00117,2024-07-04,T2,M09,P03,OP11,480,391,2158,2087,71
RUN00118,2024-07-04,T2,M10,P04,OP11,480,355,1115,1070,45
RUN00119,2024-07-04,T2,M11,P05,OP08,480,379,778,764,14
RUN00120,2024-07-04,T2,M12,P03,OP05,480,346,610,590,20
RUN00121,2024-07-04,T3,M01,P05,OP12,480,380,1860,1755,105
RUN00122,2024-07-04,T3,M03,P01,OP15,480,397,1040,1034,6
RUN00123,2024-07-04,T3,M04,P02,OP09,480,408,1054,952,102
RUN00124,2024-07-04,T3,M05,P02,OP18,480,417,2894,2870,24
RUN00125,2024-07-04,T3,M06,P05,OP06,480,441,5288,4920,368
RUN00126,2024-07-04,T3,M07,P02,OP09,480,427,1588,1555,33
RUN00127,2024-07-04,T3,M08,P02,OP18,480,353,1367,1246,121
RUN00128,2024-07-04,T3,M09,P02,OP06,480,416,2401,2357,44
RUN00129,2024-07-04,T3,M10,P04,OP18,480,376,1178,1109,69
RUN00130,2024-07-04,T3,M11,P05,OP15,480,399,917,917,0
RUN00131,2024-07-04,T3,M12,P02,OP12,480,321,516,469,47
RUN00132,2024-07-05,T1,M01,P02,OP13,480,411,1801,1763,38
RUN00133,2024-07-05,T1,M02,P03,OP13,480,388,1745,1704,41
RUN00134,2024-07-05,T1,M03,P03,OP13,480,419,1096,1012,84
RUN00135,2024-07-05,T1,M04,P05,OP01,480,368,984,894,90
RUN00136,2024-07-05,T1,M05,P04,OP16,480,452,3324,3324,0
RUN00137,2024-07-05,T1,M06,P02,OP07,480,338,3822,3649,173
RUN00138,2024-07-05,T1,M08,P04,OP04,480,357,1309,1261,48
RUN00139,2024-07-05,T1,M09,P05,OP16,480,457,2565,2541,24
RUN00140,2024-07-05,T1,M10,P03,OP13,480,398,1177,1133,44
RUN00141,2024-07-05,T1,M11,P01,OP04,480,379,891,890,1
RUN00142,2024-07-05,T1,M12,P05,OP01,480,357,636,589,47
RUN00143,2024-07-05,T2,M01,P01,OP14,480,456,2145,2121,24
RUN00144,2024-07-05,T2,M02,P02,OP14,480,385,1925,1791,134
RUN00145,2024-07-05,T2,M03,P05,OP05,480,376,1094,1094,0
RUN00146,2024-07-05,T2,M04,P02,OP17,480,335,858,827,31
RUN00147,2024-07-05,T2,M05,P03,OP02,480,390,2508,2446,62
RUN00148,2024-07-05,T2,M06,P04,OP02,480,369,3923,3823,100
RUN00149,2024-07-05,T2,M07,P04,OP05,480,379,1442,1383,59
RUN00150,2024-07-05,T2,M09,P04,OP11,480,420,2394,2330,64
RUN00151,2024-07-05,T2,M10,P04,OP14,480,321,965,917,48
RUN00152,2024-07-05,T2,M11,P03,OP02,480,414,914,884,30
RUN00153,2024-07-05,T2,M12,P02,OP11,480,388,720,666,54
RUN00154,2024-07-05,T3,M01,P03,OP06,480,374,1767,1706,61
RUN00155,2024-07-05,T3,M02,P04,OP15,480,369,1767,1698,69
RUN00156,2024-07-05,T3,M04,P05,OP03,480,396,1008,933,75
RUN00157,2024-07-05,T3,M05,P01,OP18,480,440,2989,2951,38
RUN00158,2024-07-05,T3,M06,P02,OP12,480,342,3653,3648,5
RUN00159,2024-07-05,T3,M07,P01,OP09,480,429,1644,1614,30
RUN00160,2024-07-05,T3,M08,P05,OP09,480,365,1305,1285,20
RUN00161,2024-07-05,T3,M09,P03,OP15,480,303,1617,1617,0
RUN00162,2024-07-05,T3,M10,P04,OP09,480,362,1103,1057,46
RUN00163,2024-07-05,T3,M11,P04,OP15,480,452,1022,996,26
RUN00164,2024-07-05,T3,M12,P03,OP06,480,400,687,651,36
RUN00165,2024-07-06,T1,M04,P02,OP16,480,366,1025,992,33
RUN00166,2024-07-06,T1,M05,P03,OP01,480,449,3259,3246,13
RUN00167,2024-07-06,T1,M06,P05,OP13,480,371,4240,4098,142
RUN00168,2024-07-06,T1,M08,P02,OP04,480,338,1243,1201,42
RUN00169,2024-07-06,T1,M09,P02,OP01,480,395,2234,2168,66
RUN00170,2024-07-06,T1,M10,P01,OP04,480,374,1071,1022,49
RUN00171,2024-07-06,T1,M11,P02,OP07,480,392,900,900,0
RUN00172,2024-07-06,T1,M12,P01,OP04,480,403,721,683,38
RUN00173,2024-07-06,T2,M01,P01,OP14,480,441,2080,1988,92
RUN00174,2024-07-06,T2,M03,P03,OP02,480,425,1208,1196,12
RUN00175,2024-07-06,T2,M06,P02,OP11,480,345,3749,3560,189
RUN00176,2024-07-06,T2,M12,P05,OP02,480,395,649,599,50
RUN00177,2024-07-06,T3,M01,P01,OP09,480,435,2068,2008,60
RUN00178,2024-07-06,T3,M02,P01,OP18,480,372,1637,1562,75
RUN00179,2024-07-06,T3,M03,P03,OP18,480,383,1104,1044,60
RUN00180,2024-07-06,T3,M04,P01,OP03,480,361,1027,966,61
RUN00181,2024-07-06,T3,M05,P01,OP18,480,464,3178,3108,70
RUN00182,2024-07-06,T3,M07,P02,OP12,480,342,1241,1222,19
RUN00183,2024-07-06,T3,M09,P04,OP12,480,403,2111,2041,70
RUN00184,2024-07-06,T3,M10,P03,OP18,480,335,1073,1026,47
RUN00185,2024-07-07,T1,M03,P04,OP16,480,374,1029,1027,2
RUN00186,2024-07-07,T1,M04,P03,OP13,480,287,775,731,44
RUN00187,2024-07-07,T1,M07,P05,OP13,480,414,1656,1584,72
RUN00188,2024-07-07,T1,M09,P04,OP13,480,430,2281,2225,56
RUN00189,2024-07-07,T1,M11,P01,OP07,480,347,802,782,20
RUN00190,2024-07-07,T2,M01,P03,OP08,480,433,2155,2064,91
RUN00191,2024-07-07,T2,M03,P01,OP14,480,415,1243,1198,45
RUN00192,2024-07-07,T2,M04,P04,OP17,480,391,1052,1032,20
RUN00193,2024-07-07,T2,M07,P05,OP08,480,390,1463,1387,76
RUN00194,2024-07-07,T2,M08,P02,OP05,480,334,1165,1119,46
RUN00195,2024-07-07,T2,M10,P01,OP02,480,415,1131,1073,58
RUN00196,2024-07-07,T3,M01,P05,OP18,480,435,2097,2044,53
RUN00197,2024-07-07,T3,M03,P01,OP06,480,426,1271,1263,8
RUN00198,2024-07-07,T3,M05,P05,OP12,480,444,3054,3054,0
RUN00199,2024-07-07,T3,M07,P01,OP18,480,453,1560,1483,77
RUN00200,2024-07-07,T3,M08,P03,OP15,480,321,1122,1034,88
RUN00201,2024-07-07,T3,M10,P03,OP09,480,382,1197,1134,63
RUN00202,2024-07-07,T3,M11,P01,OP15,480,449,1077,1052,25
RUN00203,2024-07-08,T1,M01,P04,OP13,480,471,2269,2220,49
RUN00204,2024-07-08,T1,M02,P02,OP13,480,307,1378,1310,68
RUN00205,2024-07-08,T1,M05,P01,OP01,480,430,3225,3102,123
RUN00206,2024-07-08,T1,M06,P03,OP10,480,405,4391,4294,97
RUN00207,2024-07-08,T1,M07,P05,OP01,480,401,1497,1488,9
RUN00208,2024-07-08,T1,M09,P05,OP04,480,424,2234,2211,23
RUN00209,2024-07-08,T1,M10,P04,OP04,480,375,1121,1082,39
RUN00210,2024-07-08,T1,M11,P02,OP13,480,414,948,948,0
RUN00211,2024-07-08,T1,M12,P05,OP04,480,336,519,499,20
RUN00212,2024-07-08,T2,M01,P04,OP17,480,415,1873,1852,21
RUN00213,2024-07-08,T2,M02,P01,OP11,480,399,1675,1582,93
RUN00214,2024-07-08,T2,M03,P02,OP17,480,355,960,953,7
RUN00215,2024-07-08,T2,M05,P02,OP17,480,405,3037,3034,3
RUN00216,2024-07-08,T2,M06,P03,OP11,480,378,4073,3921,152
RUN00217,2024-07-08,T2,M07,P01,OP14,480,393,1423,1358,65
RUN00218,2024-07-08,T2,M08,P03,OP08,480,314,1139,1024,115
RUN00219,2024-07-08,T2,M09,P01,OP11,480,398,2325,2293,32
RUN00220,2024-07-08,T2,M11,P04,OP05,480,435,1044,1041,3
RUN00221,2024-07-08,T2,M12,P02,OP02,480,374,667,634,33
RUN00222,2024-07-08,T3,M01,P04,OP06,480,278,1284,1237,47
RUN00223,2024-07-08,T3,M02,P02,OP18,480,322,1536,1463,73
RUN00224,2024-07-08,T3,M03,P02,OP18,480,421,1158,1105,53
RUN00225,2024-07-08,T3,M04,P01,OP03,480,376,976,912,64
RUN00226,2024-07-08,T3,M05,P01,OP15,480,393,2756,2673,83
RUN00227,2024-07-08,T3,M06,P03,OP06,480,386,4195,3994,201
RUN00228,2024-07-08,T3,M07,P02,OP12,480,407,1394,1393,1
RUN00229,2024-07-08,T3,M08,P05,OP12,480,406,1477,1391,86
RUN00230,2024-07-08,T3,M09,P05,OP15,480,296,1709,1681,28
RUN00231,2024-07-08,T3,M11,P05,OP06,480,378,833,812,21
RUN00232,2024-07-08,T3,M12,P05,OP12,480,380,644,604,40
RUN00233,2024-07-09,T1,M01,P04,OP04,480,320,1452,1411,41
RUN00234,2024-07-09,T1,M02,P01,OP04,480,409,1889,1781,108
RUN00235,2024-07-09,T1,M03,P03,OP01,480,379,1087,1075,12
RUN00236,2024-07-09,T1,M04,P02,OP07,480,330,864,810,54
RUN00237,2024-07-09,T1,M05,P05,OP07,480,408,3045,3045,0
RUN00238,2024-07-09,T1,M06,P04,OP01,480,421,4230,4112,118
RUN00239,2024-07-09,T1,M07,P04,OP13,480,417,1468,1416,52
RUN00240,2024-07-09,T1,M08,P04,OP07,480,355,1277,1171,106
RUN00241,2024-07-09,T1,M09,P01,OP13,480,301,1759,1676,83
RUN00242,2024-07-09,T1,M10,P03,OP04,480,384,1198,1161,37
RUN00243,2024-07-09,T1,M11,P01,OP07,480,418,881,864,17
RUN00244,2024-07-09,T1,M12,P01,OP10,480,334,612,575,37
RUN00245,2024-07-09,T2,M02,P01,OP14,480,391,1905,1857,48
RUN00246,2024-07-09,T2,M03,P02,OP17,480,467,1229,1182,47
RUN00247,2024-07-09,T2,M04,P04,OP08,480,356,931,849,82
RUN00248,2024-07-09,T2,M05,P02,OP05,480,426,3146,3146,0
RUN00249,2024-07-09,T2,M06,P05,OP08,480,406,4467,4457,10
RUN00250,2024-07-09,T2,M07,P03,OP02,480,430,1651,1573,78
RUN00251,2024-07-09,T2,M08,P02,OP02,480,389,1413,1374,39
RUN00252,2024-07-09,T2,M09,P01,OP14,480,445,2516,2485,31
RUN00253,2024-07-09,T2,M10,P04,OP02,480,419,1226,1179,47
RUN00254,2024-07-09,T2,M11,P01,OP02,480,425,969,965,4
RUN00255,2024-07-09,T2,M12,P03,OP08,480,365,608,559,49
RUN00256,2024-07-09,T3,M01,P01,OP18,480,401,1905,1898,7
RUN00257,2024-07-09,T3,M02,P04,OP03,480,396,1742,1656,86
RUN00258,2024-07-09,T3,M03,P05,OP09,480,440,1291,1212,79
RUN00259,2024-07-09,T3,M04,P02,OP18,480,407,1113,1045,68
RUN00260,2024-07-09,T3,M05,P01,OP03,480,383,2872,2749,123
RUN00261,2024-07-09,T3,M06,P03,OP18,480,415,4657,4431,226
RUN00262,2024-07-09,T3,M07,P05,OP06,480,390,1334,1285,49
RUN00263,2024-07-09,T3,M09,P02,OP03,480,276,1622,1582,40
RUN00264,2024-07-09,T3,M11,P04,OP12,480,379,884,863,21
RUN00265,2024-07-09,T3,M12,P02,OP12,480,266,517,483,34
RUN00266,2024-07-10,T1,M01,P01,OP16,480,402,1734,1681,53
RUN00267,2024-07-10,T1,M02,P01,OP13,480,400,1832,1727,105
RUN00268,2024-07-10,T1,M03,P04,OP04,480,383,1130,1074,56
RUN00269,2024-07-10,T1,M05,P04,OP07,480,405,2781,2744,37
RUN00270,2024-07-10,T1,M06,P04,OP07,480,380,4161,3983,178
RUN00271,2024-07-10,T1,M07,P01,OP01,480,430,1695,1661,34
RUN00272,2024-07-10,T1,M08,P02,OP16,480,391,1419,1339,80
RUN00273,2024-07-10,T1,M09,P02,OP10,480,397,2210,2163,47
RUN00274,2024-07-10,T1,M10,P03,OP01,480,376,1140,1072,68
RUN00275,2024-07-10,T1,M11,P05,OP07,480,442,901,881,20
RUN00276,2024-07-10,T1,M12,P01,OP04,480,373,626,586,40
RUN00277,2024-07-10,T2,M01,P02,OP05,480,423,1968,1883,85
RUN00278,2024-07-10,T2,M02,P02,OP02,480,387,1739,1665,74
RUN00279,2024-07-10,T2,M03,P04,OP14,480,413,1239,1206,33
RUN00280,2024-07-10,T2,M04,P04,OP08,480,316,861,799,62
RUN00281,2024-07-10,T2,M05,P02,OP05,480,437,3231,3045,186
RUN00282,2024-07-10,T2,M06,P03,OP17,480,440,5051,4857,194
RUN00283,2024-07-10,T2,M07,P05,OP05,480,380,1472,1467,5
RUN00284,2024-07-10,T2,M08,P01,OP14,480,342,1198,1084,114
RUN00285,2024-07-10,T2,M09,P01,OP02,480,397,2194,2117,77
RUN00286,2024-07-10,T2,M10,P04,OP08,480,340,1058,1024,34
RUN00287,2024-07-10,T2,M12,P01,OP17,480,341,574,528,46
RUN00288,2024-07-10,T3,M01,P01,OP06,480,394,1835,1784,51
RUN00289,2024-07-10,T3,M02,P02,OP03,480,328,1537,1478,59
RUN00290,2024-07-10,T3,M04,P03,OP06,480,266,695,671,24
RUN00291,2024-07-10,T3,M06,P01,OP03,480,409,4443,4371,72
RUN00292,2024-07-10,T3,M08,P03,OP06,480,346,1312,1246,66
RUN00293,2024-07-10,T3,M10,P03,OP12,480,354,1067,1052,15
RUN00294,2024-07-10,T3,M11,P01,OP06,480,399,893,839,54
RUN00295,2024-07-10,T3,M12,P01,OP12,480,364,624,555,69
RUN00296,2024-07-11,T1,M01,P02,OP13,480,343,1607,1572,35
RUN00297,2024-07-11,T1,M02,P05,OP10,480,272,1171,1158,13
RUN00298,2024-07-11,T1,M03,P04,OP04,480,382,1020,959,61
RUN00299,2024-07-11,T1,M04,P02,OP04,480,365,1031,979,52
RUN00300,2024-07-11,T1,M05,P04,OP04,480,420,2938,2818,120
RUN00301,2024-07-11,T1,M06,P04,OP13,480,394,4400,4172,228
RUN00302,2024-07-11,T1,M07,P03,OP01,480,411,1516,1504,12
RUN00303,2024-07-11,T1,M08,P04,OP10,480,372,1300,1209,91
RUN00304,2024-07-11,T1,M09,P05,OP07,480,421,2329,2274,55
RUN00305,2024-07-11,T1,M11,P01,OP16,480,359,851,818,33
RUN00306,2024-07-11,T1,M12,P05,OP16,480,343,567,554,13
RUN00307,2024-07-11,T2,M01,P02,OP02,480,349,1593,1464,129
RUN00308,2024-07-11,T2,M02,P02,OP14,480,370,1668,1558,110
RUN00309,2024-07-11,T2,M03,P04,OP05,480,422,1266,1241,25
RUN00310,2024-07-11,T2,M04,P03,OP17,480,381,978,899,79
RUN00311,2024-07-11,T2,M05,P01,OP14,480,265,1878,1861,17
RUN00312,2024-07-11,T2,M06,P05,OP02,480,425,4695,4476,219
RUN00313,2024-07-11,T2,M07,P04,OP02,480,416,1519,1460,59
RUN00314,2024-07-11,T2,M08,P04,OP05,480,334,1189,1158,31
RUN00315,2024-07-11,T2,M09,P04,OP14,480,454,2541,2492,49
RUN00316,2024-07-11,T2,M10,P01,OP11,480,432,1241,1219,22
RUN00317,2024-07-11,T2,M11,P02,OP11,480,461,1042,982,60
RUN00318,2024-07-11,T2,M12,P05,OP17,480,361,615,566,49
RUN00319,2024-07-11,T3,M01,P04,OP09,480,422,2043,1992,51
RUN00320,2024-07-11,T3,M02,P04,OP06,480,392,1782,1742,40
RUN00321,2024-07-11,T3,M03,P01,OP09,480,415,1073,1056,17
RUN00322,2024-07-11,T3,M04,P05,OP06,480,382,1002,933,69
RUN00323,2024-07-11,T3,M06,P04,OP06,480,386,4512,4380,132
RUN00324,2024-07-11,T3,M08,P04,OP09,480,295,1015,963,52
RUN00325,2024-07-11,T3,M09,P01,OP09,480,449,2530,2516,14
RUN00326,2024-07-11,T3,M10,P03,OP06,480,360,1064,1009,55
RUN00327,2024-07-11,T3,M11,P03,OP12,480,373,816,802,14
RUN00328,2024-07-11,T3,M12,P03,OP06,480,349,624,583,41
RUN00329,2024-07-12,T1,M01,P04,OP04,480,440,1986,1944,42
RUN00330,2024-07-12,T1,M02,P02,OP16,480,318,1508,1423,85
RUN00331,2024-07-12,T1,M03,P02,OP04,480,422,1190,1145,45
RUN00332,2024-07-12,T1,M04,P05,OP07,480,371,1013,944,69
RUN00333,2024-07-12,T1,M05,P02,OP16,480,458,3435,3375,60
RUN00334,2024-07-12,T1,M06,P03,OP01,480,392,4176,4073,103
RUN00335,2024-07-12,T1,M07,P05,OP07,480,405,1402,1347,55
RUN00336,2024-07-12,T1,M09,P02,OP01,480,390,2074,2062,12
RUN00337,2024-07-12,T1,M10,P03,OP07,480,379,1118,1065,53
RUN00338,2024-07-12,T1,M11,P04,OP16,480,453,1027,1015,12
RUN00339,2024-07-12,T1,M12,P02,OP10,480,306,538,498,40
RUN00340,2024-07-12,T2,M01,P03,OP17,480,437,1977,1930,47
RUN00341,2024-07-12,T2,M02,P03,OP14,480,295,1340,1258,82
RUN00342,2024-07-12,T2,M03,P02,OP11,480,423,1188,1179,9
RUN00343,2024-07-12,T2,M04,P04,OP17,480,343,892,839,53
RUN00344,2024-07-12,T2,M05,P05,OP14,480,472,3484,3410,74
RUN00345,2024-07-12,T2,M06,P04,OP08,480,408,4418,4418,0
RUN00346,2024-07-12,T2,M07,P05,OP14,480,427,1602,1545,57
RUN00347,2024-07-12,T2,M08,P04,OP14,480,353,1234,1158,76
RUN00348,2024-07-12,T2,M09,P02,OP02,480,395,2161,2076,85
RUN00349,2024-07-12,T2,M10,P02,OP08,480,441,1360,1283,77
RUN00350,2024-07-12,T2,M11,P01,OP14,480,459,995,990,5
RUN00351,2024-07-12,T2,M12,P05,OP17,480,317,534,507,27
RUN00352,2024-07-12,T3,M01,P02,OP12,480,380,1827,1801,26
RUN00353,2024-07-12,T3,M02,P02,OP06,480,420,1802,1756,46
RUN00354,2024-07-12,T3,M03,P04,OP15,480,332,919,889,30
RUN00355,2024-07-12,T3,M04,P02,OP06,480,342,956,926,30
RUN00356,2024-07-12,T3,M05,P05,OP12,480,415,2740,2679,61
RUN00357,2024-07-12,T3,M06,P03,OP12,480,293,3203,3203,0
RUN00358,2024-07-12,T3,M07,P04,OP15,480,376,1348,1281,67
RUN00359,2024-07-12,T3,M08,P04,OP18,480,372,1370,1304,66
RUN00360,2024-07-12,T3,M09,P03,OP15,480,296,1694,1644,50
RUN00361,2024-07-12,T3,M10,P02,OP12,480,373,1130,1101,29
RUN00362,2024-07-12,T3,M11,P05,OP06,480,394,879,835,44
RUN00363,2024-07-12,T3,M12,P04,OP03,480,359,646,593,53
RUN00364,2024-07-13,T1,M01,P04,OP01,480,408,1933,1910,23
RUN00365,2024-07-13,T1,M03,P05,OP16,480,374,1081,1047,34
RUN00366,2024-07-13,T1,M04,P02,OP07,480,354,938,887,51
RUN00367,2024-07-13,T1,M05,P04,OP04,480,442,3315,3150,165
RUN00368,2024-07-13,T1,M07,P05,OP07,480,418,1475,1438,37
RUN00369,2024-07-13,T2,M04,P02,OP11,480,362,988,910,78
RUN00370,2024-07-13,T2,M06,P02,OP14,480,289,3098,3098,0
