event_id,run_id,machine_id,production_date,reason_id,duration_min
EVT000109,RUN00024,M12,2024-07-01,R04,34
EVT000110,RUN00024,M12,2024-07-01,R12,31
EVT000111,RUN00025,M02,2024-07-01,R02,30
EVT000112,RUN00025,M02,2024-07-01,R01,15
EVT000113,RUN00025,M02,2024-07-01,R01,3
EVT000114,RUN00025,M02,2024-07-01,R02,47
EVT000115,RUN00026,M03,2024-07-01,R11,30
EVT000116,RUN00027,M04,2024-07-01,R05,98
EVT000117,RUN00027,M04,2024-07-01,R09,2
EVT000118,RUN00027,M04,2024-07-01,R10,24
EVT000119,RUN00028,M05,2024-07-01,R01,91
EVT000120,RUN00029,M06,2024-07-01,R14,1
EVT000121,RUN00029,M06,2024-07-01,R13,16
EVT000122,RUN00029,M06,2024-07-01,R03,10
EVT000123,RUN00029,M06,2024-07-01,R10,6
EVT000124,RUN00030,M07,2024-07-01,R04,2
EVT000125,RUN00030,M07,2024-07-01,R12,25
EVT000126,RUN00030,M07,2024-07-01,R15,102
EVT000127,RUN00031,M08,2024-07-01,R04,84
EVT000128,RUN00031,M08,2024-07-01,R10,1
EVT000129,RUN00031,M08,2024-07-01,R04,1
EVT000130,RUN00031,M08,2024-07-01,R07,22
EVT000131,RUN00031,M08,2024-07-01,R12,5
EVT000132,RUN00031,M08,2024-07-01,R11,27
EVT000133,RUN00032,M09,2024-07-01,R01,10
EVT000134,RUN00033,M11,2024-07-01,R07,41
EVT000135,RUN00033,M11,2024-07-01,R11,4
EVT000136,RUN00033,M11,2024-07-01,R12,21
EVT000137,RUN00034,M12,2024-07-01,R03,2
EVT000138,RUN00034,M12,2024-07-01,R09,1
EVT000139,RUN00034,M12,2024-07-01,R05,40
EVT000140,RUN00034,M12,2024-07-01,R06,13
EVT000141,RUN00034,M12,2024-07-01,R03,4
EVT000142,RUN00034,M12,2024-07-01,R01,4
EVT000143,RUN00034,M12,2024-07-01,R05,3
EVT000144,RUN00034,M12,2024-07-01,R01,3
EVT000145,RUN00034,M12,2024-07-01,R06,2
EVT000146,RUN00034,M12,2024-07-01,R05,12
EVT000147,RUN00034,M12,2024-07-01,R09,1
EVT000148,RUN00034,M12,2024-07-01,R11,7
EVT000149,RUN00035,M01,2024-07-02,R01,7
EVT000150,RUN00035,M01,2024-07-02,R09,11
EVT000151,RUN00036,M02,2024-07-02,R05,1
EVT000152,RUN00036,M02,2024-07-02,R05,4
EVT000153,RUN00036,M02,2024-07-02,R05,2
EVT000154,RUN00036,M02,2024-07-02,R13,18
EVT000155,RUN00036,M02,2024-07-02,R09,7
EVT000156,RUN00036,M02,2024-07-02,R07,3
EVT000157,RUN00036,M02,2024-07-02,R07,30
EVT000158,RUN00037,M03,2024-07-02,R01,4
EVT000159,RUN00037,M03,2024-07-02,R04,7
EVT000160,RUN00037,M03,2024-07-02,R03,6
EVT000161,RUN00037,M03,2024-07-02,R03,45
EVT000162,RUN00037,M03,2024-07-02,R01,18
EVT000163,RUN00037,M03,2024-07-02,R06,48
EVT000164,RUN00038,M04,2024-07-02,R11,10
EVT000165,RUN00038,M04,2024-07-02,R07,22
EVT000166,RUN00038,M04,2024-07-02,R12,3
EVT000167,RUN00038,M04,2024-07-02,R14,9
EVT000168,RUN00038,M04,2024-07-02,R04,53
EVT000169,RUN00038,M04,2024-07-02,R07,42
EVT000170,RUN00039,M05,2024-07-02,R08,4
EVT000171,RUN00039,M05,2024-07-02,R09,1
EVT000172,RUN00040,M06,2024-07-02,R14,37
EVT000173,RUN00040,M06,2024-07-02,R04,19
EVT000174,RUN00040,M06,2024-07-02,R14,10
EVT000175,RUN00040,M06,2024-07-02,R01,38
EVT000176,RUN00041,M07,2024-07-02,R09,5
EVT000177,RUN00041,M07,2024-07-02,R06,15
EVT000178,RUN00041,M07,2024-07-02,R13,19
EVT000179,RUN00041,M07,2024-07-02,R07,20
EVT000180,RUN00041,M07,2024-07-02,R08,9
EVT000181,RUN00041,M07,2024-07-02,R05,13
EVT000182,RUN00042,M08,2024-07-02,R07,47
EVT000183,RUN00042,M08,2024-07-02,R08,133
EVT000184,RUN00043,M09,2024-07-02,R02,84
EVT000185,RUN00044,M10,2024-07-02,R09,5
EVT000186,RUN00044,M10,2024-07-02,R08,6
EVT000187,RUN00044,M10,2024-07-02,R05,3
EVT000188,RUN00044,M10,2024-07-02,R14,7
EVT000189,RUN00044,M10,2024-07-02,R06,7
EVT000190,RUN00044,M10,2024-07-02,R14,1
EVT000191,RUN00044,M10,2024-07-02,R09,3
EVT000192,RUN00044,M10,2024-07-02,R09,1
EVT000193,RUN00044,M10,2024-07-02,R13,53
EVT000194,RUN00044,M10,2024-07-02,R08,26
EVT000195,RUN00045,M11,2024-07-02,R03,36
EVT000196,RUN00045,M11,2024-07-02,R05,6
EVT000197,RUN00045,M11,2024-07-02,R04,37
EVT000198,RUN00046,M12,2024-07-02,R07,88
EVT000199,RUN00046,M12,2024-07-02,R05,7
EVT000200,RUN00046,M12,2024-07-02,R10,6
EVT000201,RUN00046,M12,2024-07-02,R04,24
EVT000202,RUN00046,M12,2024-07-02,R03,3
EVT000203,RUN00046,M12,2024-07-02,R07,19
EVT000204,RUN00047,M01,2024-07-02,R12,11
EVT000205,RUN00048,M02,2024-07-02,R06,9
EVT000206,RUN00048,M02,2024-07-02,R01,37
EVT000207,RUN00048,M02,2024-07-02,R06,8
EVT000208,RUN00048,M02,2024-07-02,R06,6
EVT000209,RUN00048,M02,2024-07-02,R08,3
EVT000210,RUN00048,M02,2024-07-02,R03,39
EVT000211,RUN00048,M02,2024-07-02,R14,3
EVT000212,RUN00048,M02,2024-07-02,R04,41
EVT000213,RUN00049,M03,2024-07-02,R01,2
EVT000214,RUN00049,M03,2024-07-02,R11,1
EVT000215,RUN00049,M03,2024-07-02,R09,1
EVT000216,RUN00049,M03,2024-07-02,R01,6
EVT000217,RUN00049,M03,2024-07-02,R10,19
EVT000218,RUN00049,M03,2024-07-02,R12,7
EVT000219,RUN00049,M03,2024-07-02,R09,1
EVT000220,RUN00049,M03,2024-07-02,R05,40
EVT000221,RUN00050,M04,2024-07-02,R11,2
EVT000222,RUN00050,M04,2024-07-02,R01,37
EVT000223,RUN00050,M04,2024-07-02,R05,22
EVT000224,RUN00050,M04,2024-07-02,R05,29
EVT000225,RUN00050,M04,2024-07-02,R04,124
EVT000226,RUN00051,M05,2024-07-02,R09,1
EVT000227,RUN00051,M05,2024-07-02,R03,36
EVT000228,RUN00052,M07,2024-07-02,R08,7
EVT000229,RUN00052,M07,2024-07-02,R08,23
EVT000230,RUN00052,M07,2024-07-02,R12,3
EVT000231,RUN00052,M07,2024-07-02,R01,3
EVT000232,RUN00052,M07,2024-07-02,R13,41
EVT000233,RUN00053,M08,2024-07-02,R05,57
EVT000234,RUN00053,M08,2024-07-02,R03,1
EVT000235,RUN00053,M08,2024-07-02,R10,1
EVT000236,RUN00053,M08,2024-07-02,R12,8
EVT000237,RUN00053,M08,2024-07-02,R14,10
EVT000238,RUN00053,M08,2024-07-02,R09,14
EVT000239,RUN00053,M08,2024-07-02,R05,55
EVT000240,RUN00054,M09,2024-07-02,R14,1
EVT000241,RUN00054,M09,2024-07-02,R09,3
EVT000242,RUN00054,M09,2024-07-02,R05,7
EVT000243,RUN00054,M09,2024-07-02,R06,14
EVT000244,RUN00054,M09,2024-07-02,R09,3
EVT000245,RUN00054,M09,2024-07-02,R01,2
EVT000246,RUN00054,M09,2024-07-02,R01,85
EVT000247,RUN00055,M10,2024-07-02,R11,7
EVT000248,RUN00055,M10,2024-07-02,R09,8
EVT000249,RUN00055,M10,2024-07-02,R04,25
EVT000250,RUN00055,M10,2024-07-02,R04,173
EVT000251,RUN00056,M11,2024-07-02,R14,28
EVT000252,RUN00056,M11,2024-07-02,R14,5
EVT000253,RUN00056,M11,2024-07-02,R12,27
EVT000254,RUN00057,M12,2024-07-02,R08,35
EVT000255,RUN00057,M12,2024-07-02,R07,37
EVT000256,RUN00057,M12,2024-07-02,R10,7
EVT000257,RUN00057,M12,2024-07-02,R06,25
EVT000258,RUN00057,M12,2024-07-02,R06,7
EVT000259,RUN00057,M12,2024-07-02,R15,1
EVT000260,RUN00057,M12,2024-07-02,R03,9
EVT000261,RUN00057,M12,2024-07-02,R14,1
EVT000262,RUN00057,M12,2024-07-02,R01,1
EVT000263,RUN00057,M12,2024-07-02,R01,1
EVT000264,RUN00057,M12,2024-07-02,R06,10
EVT000265,RUN00057,M12,2024-07-02,R04,20
EVT000266,RUN00057,M12,2024-07-02,R01,10
EVT000267,RUN00057,M12,2024-07-02,R07,46
EVT000268,RUN00058,M02,2024-07-02,R15,10
EVT000269,RUN00058,M02,2024-07-02,R05,20
EVT000270,RUN00058,M02,2024-07-02,R04,119
EVT000271,RUN00059,M03,2024-07-02,R09,3
EVT000272,RUN00059,M03,2024-07-02,R04,7
EVT000273,RUN00059,M03,2024-07-02,R04,8
EVT000274,RUN00059,M03,2024-07-02,R10,4
EVT000275,RUN00059,M03,2024-07-02,R01,86
EVT000276,RUN00060,M04,2024-07-02,R10,1
EVT000277,RUN00060,M04,2024-07-02,R13,39
EVT000278,RUN00060,M04,2024-07-02,R06,5
EVT000279,RUN00060,M04,2024-07-02,R04,25
EVT000280,RUN00060,M04,2024-07-02,R01,47
EVT000281,RUN00060,M04,2024-07-02,R01,9
EVT000282,RUN00061,M05,2024-07-02,R12,10
EVT000283,RUN00061,M05,2024-07-02,R06,10
EVT000284,RUN00061,M05,2024-07-02,R11,3
EVT000285,RUN00061,M05,2024-07-02,R09,4
EVT000286,RUN00061,M05,2024-07-02,R04,84
EVT000287,RUN00062,M06,2024-07-02,R09,4
EVT000288,RUN00062,M06,2024-07-02,R10,1
EVT000289,RUN00062,M06,2024-07-02,R13,41
EVT000290,RUN00063,M07,2024-07-02,R15,17
EVT000291,RUN00063,M07,2024-07-02,R04,40
EVT000292,RUN00064,M08,2024-07-02,R05,3
EVT000293,RUN00064,M08,2024-07-02,R10,15
EVT000294,RUN00064,M08,2024-07-02,R03,29
EVT000295,RUN00064,M08,2024-07-02,R14,1
EVT000296,RUN00064,M08,2024-07-02,R10,12
EVT000297,RUN00064,M08,2024-07-02,R06,1
EVT000298,RUN00064,M08,2024-07-02,R01,47
EVT000299,RUN00065,M09,2024-07-02,R09,1
EVT000300,RUN00065,M09,2024-07-02,R04,214
EVT000301,RUN00066,M10,2024-07-02,R12,49
EVT000302,RUN00066,M10,2024-07-02,R01,32
EVT000303,RUN00066,M10,2024-07-02,R14,15
EVT000304,RUN00066,M10,2024-07-02,R14,11
EVT000305,RUN00066,M10,2024-07-02,R06,4
EVT000306,RUN00066,M10,2024-07-02,R05,23
EVT000307,RUN00066,M10,2024-07-02,R10,2
EVT000308,RUN00067,M11,2024-07-02,R01,39
EVT000309,RUN00068,M01,2024-07-03,R02,52
EVT000310,RUN00068,M01,2024-07-03,R06,2
EVT000311,RUN00068,M01,2024-07-03,R06,1
EVT000312,RUN00069,M02,2024-07-03,R10,30
EVT000313,RUN00069,M02,2024-07-03,R14,10
EVT000314,RUN00069,M02,2024-07-03,R10,1
EVT000315,RUN00069,M02,2024-07-03,R02,38
EVT000316,RUN00070,M03,2024-07-03,R07,74
EVT000317,RUN00071,M04,2024-07-03,R09,1
EVT000318,RUN00071,M04,2024-07-03,R14,1
EVT000319,RUN00071,M04,2024-07-03,R08,27
EVT000320,RUN00071,M04,2024-07-03,R13,25
EVT000321,RUN00071,M04,2024-07-03,R11,3
EVT000322,RUN00071,M04,2024-07-03,R11,1
EVT000323,RUN00071,M04,2024-07-03,R13,15
EVT000324,RUN00071,M04,2024-07-03,R11,4
EVT000325,RUN00071,M04,2024-07-03,R09,3
EVT000326,RUN00071,M04,2024-07-03,R10,1
EVT000327,RUN00071,M04,2024-07-03,R01,7
EVT000328,RUN00071,M04,2024-07-03,R03,41
EVT000329,RUN00072,M06,2024-07-03,R15,66
EVT000330,RUN00072,M06,2024-07-03,R09,1
EVT000331,RUN00072,M06,2024-07-03,R09,1
EVT000332,RUN00072,M06,2024-07-03,R01,7
EVT000333,RUN00072,M06,2024-07-03,R06,24
EVT000334,RUN00073,M07,2024-07-03,R01,12
EVT000335,RUN00074,M08,2024-07-03,R06,21
EVT000336,RUN00074,M08,2024-07-03,R04,59
EVT000337,RUN00075,M09,2024-07-03,R06,10
EVT000338,RUN00075,M09,2024-07-03,R08,23
EVT000339,RUN00075,M09,2024-07-03,R01,26
EVT000340,RUN00075,M09,2024-07-03,R05,9
EVT000341,RUN00075,M09,2024-07-03,R12,1
EVT000342,RUN00075,M09,2024-07-03,R09,4
EVT000343,RUN00075,M09,2024-07-03,R05,4
EVT000344,RUN00076,M10,2024-07-03,R09,14
EVT000345,RUN00076,M10,2024-07-03,R04,17
EVT000346,RUN00076,M10,2024-07-03,R05,16
EVT000347,RUN00076,M10,2024-07-03,R05,13
EVT000348,RUN00076,M10,2024-07-03,R11,9
EVT000349,RUN00076,M10,2024-07-03,R06,23
EVT000350,RUN00077,M11,2024-07-03,R03,1
EVT000351,RUN00077,M11,2024-07-03,R02,39
EVT000352,RUN00077,M11,2024-07-03,R09,2
EVT000353,RUN00077,M11,2024-07-03,R06,13
EVT000354,RUN00077,M11,2024-07-03,R01,9
EVT000355,RUN00077,M11,2024-07-03,R15,15
EVT000356,RUN00078,M12,2024-07-03,R10,1
EVT000357,RUN00078,M12,2024-07-03,R03,25
EVT000358,RUN00078,M12,2024-07-03,R03,4
EVT000359,RUN00078,M12,2024-07-03,R14,1
EVT000360,RUN00078,M12,2024-07-03,R09,18
EVT000361,RUN00078,M12,2024-07-03,R05,1
EVT000362,RUN00078,M12,2024-07-03,R04,70
EVT000363,RUN00078,M12,2024-07-03,R12,20
EVT000364,RUN00078,M12,2024-07-03,R02,70
EVT000365,RUN00079,M01,2024-07-03,R12,75
EVT000366,RUN00079,M01,2024-07-03,R10,1
EVT000367,RUN00079,M01,2024-07-03,R05,2
EVT000368,RUN00079,M01,2024-07-03,R09,7
EVT000369,RUN00079,M01,2024-07-03,R14,4
EVT000370,RUN00080,M02,2024-07-03,R09,2
EVT000371,RUN00080,M02,2024-07-03,R06,3
EVT000372,RUN00080,M02,2024-07-03,R05,4
EVT000373,RUN00080,M02,2024-07-03,R01,23
EVT000374,RUN00080,M02,2024-07-03,R09,4
EVT000375,RUN00080,M02,2024-07-03,R06,5
EVT000376,RUN00080,M02,2024-07-03,R12,10
EVT000377,RUN00080,M02,2024-07-03,R06,1
EVT000378,RUN00080,M02,2024-07-03,R05,8
EVT000379,RUN00080,M02,2024-07-03,R06,10
EVT000380,RUN00080,M02,2024-07-03,R07,32
EVT000381,RUN00081,M04,2024-07-03,R05,3
EVT000382,RUN00081,M04,2024-07-03,R06,2
EVT000383,RUN00081,M04,2024-07-03,R03,19
EVT000384,RUN00081,M04,2024-07-03,R07,38
EVT000385,RUN00081,M04,2024-07-03,R14,6
EVT000386,RUN00081,M04,2024-07-03,R08,2
EVT000387,RUN00081,M04,2024-07-03,R09,2
EVT000388,RUN00081,M04,2024-07-03,R15,31
EVT000389,RUN00082,M05,2024-07-03,R14,4
EVT000390,RUN00082,M05,2024-07-03,R01,42
EVT000391,RUN00083,M06,2024-07-03,R06,21
EVT000392,RUN00083,M06,2024-07-03,R13,8
EVT000393,RUN00083,M06,2024-07-03,R04,60
EVT000394,RUN00084,M07,2024-07-03,R09,1
EVT000395,RUN00084,M07,2024-07-03,R10,19
EVT000396,RUN00084,M07,2024-07-03,R04,4
EVT000397,RUN00084,M07,2024-07-03,R01,25
EVT000398,RUN00084,M07,2024-07-03,R09,3
EVT000399,RUN00084,M07,2024-07-03,R04,19
EVT000400,RUN00084,M07,2024-07-03,R09,3
EVT000401,RUN00084,M07,2024-07-03,R15,2
EVT000402,RUN00085,M08,2024-07-03,R14,11
EVT000403,RUN00085,M08,2024-07-03,R04,41
EVT000404,RUN00085,M08,2024-07-03,R09,2
EVT000405,RUN00085,M08,2024-07-03,R05,7
EVT000406,RUN00085,M08,2024-07-03,R09,2
EVT000407,RUN00085,M08,2024-07-03,R12,16
EVT000408,RUN00085,M08,2024-07-03,R01,25
EVT000409,RUN00085,M08,2024-07-03,R04,35
EVT000410,RUN00086,M09,2024-07-03,R15,10
EVT000411,RUN00086,M09,2024-07-03,R05,15
EVT000412,RUN00086,M09,2024-07-03,R01,81
EVT000413,RUN00087,M10,2024-07-03,R15,1
EVT000414,RUN00087,M10,2024-07-03,R10,14
EVT000415,RUN00087,M10,2024-07-03,R04,44
EVT000416,RUN00087,M10,2024-07-03,R01,7
EVT000417,RUN00087,M10,2024-07-03,R11,16
EVT000418,RUN00087,M10,2024-07-03,R09,3
EVT000419,RUN00087,M10,2024-07-03,R03,1
EVT000420,RUN00087,M10,2024-07-03,R02,11
EVT000421,RUN00087,M10,2024-07-03,R05,8
EVT000422,RUN00088,M11,2024-07-03,R03,30
EVT000423,RUN00088,M11,2024-07-03,R08,18
EVT000424,RUN00088,M11,2024-07-03,R05,12
EVT000425,RUN00088,M11,2024-07-03,R05,13
EVT000426,RUN00089,M12,2024-07-03,R05,66
EVT000427,RUN00089,M12,2024-07-03,R09,8
EVT000428,RUN00089,M12,2024-07-03,R02,89
EVT000429,RUN00090,M02,2024-07-03,R05,1
EVT000430,RUN00090,M02,2024-07-03,R01,3
EVT000431,RUN00090,M02,2024-07-03,R14,6
EVT000432,RUN00090,M02,2024-07-03,R14,4
EVT000433,RUN00090,M02,2024-07-03,R05,12
EVT000434,RUN00090,M02,2024-07-03,R06,1
EVT000435,RUN00090,M02,2024-07-03,R09,1
EVT000436,RUN00090,M02,2024-07-03,R09,5
EVT000437,RUN00090,M02,2024-07-03,R03,1
EVT000438,RUN00090,M02,2024-07-03,R10,6
EVT000439,RUN00090,M02,2024-07-03,R01,131
EVT000440,RUN00091,M04,2024-07-03,R01,17
EVT000441,RUN00091,M04,2024-07-03,R15,30
EVT000442,RUN00091,M04,2024-07-03,R09,1
EVT000443,RUN00091,M04,2024-07-03,R09,3
EVT000444,RUN00091,M04,2024-07-03,R06,1
EVT000445,RUN00091,M04,2024-07-03,R13,11
EVT000446,RUN00091,M04,2024-07-03,R04,18
EVT000447,RUN00091,M04,2024-07-03,R06,21
EVT000448,RUN00092,M05,2024-07-03,R03,19
EVT000449,RUN00092,M05,2024-07-03,R05,32
EVT000450,RUN00093,M06,2024-07-03,R03,2
EVT000451,RUN00093,M06,2024-07-03,R12,4
EVT000452,RUN00093,M06,2024-07-03,R09,8
EVT000453,RUN00093,M06,2024-07-03,R09,9
EVT000454,RUN00093,M06,2024-07-03,R05,56
EVT000455,RUN00093,M06,2024-07-03,R02,4
EVT000456,RUN00093,M06,2024-07-03,R09,14
EVT000457,RUN00093,M06,2024-07-03,R11,1
EVT000458,RUN00093,M06,2024-07-03,R05,47
EVT000459,RUN00094,M07,2024-07-03,R13,11
EVT000460,RUN00094,M07,2024-07-03,R13,2
EVT000461,RUN00094,M07,2024-07-03,R15,10
EVT000462,RUN00094,M07,2024-07-03,R01,1
EVT000463,RUN00094,M07,2024-07-03,R10,10
EVT000464,RUN00094,M07,2024-07-03,R11,1
EVT000465,RUN00094,M07,2024-07-03,R01,17
EVT000466,RUN00094,M07,2024-07-03,R05,11
EVT000467,RUN00094,M07,2024-07-03,R15,63
EVT000468,RUN00095,M08,2024-07-03,R05,4
EVT000469,RUN00095,M08,2024-07-03,R02,42
EVT000470,RUN00095,M08,2024-07-03,R10,10
EVT000471,RUN00095,M08,2024-07-03,R07,1
EVT000472,RUN00095,M08,2024-07-03,R14,12
EVT000473,RUN00095,M08,2024-07-03,R05,70
EVT000474,RUN00096,M09,2024-07-03,R01,11
EVT000475,RUN00097,M10,2024-07-03,R04,31
EVT000476,RUN00097,M10,2024-07-03,R09,1
EVT000477,RUN00097,M10,2024-07-03,R15,24
EVT000478,RUN00097,M10,2024-07-03,R08,4
EVT000479,RUN00097,M10,2024-07-03,R01,9
EVT000480,RUN00098,M11,2024-07-03,R11,1
EVT000481,RUN00098,M11,2024-07-03,R07,64
EVT000482,RUN00099,M12,2024-07-03,R10,1
EVT000483,RUN00099,M12,2024-07-03,R06,1
EVT000484,RUN00099,M12,2024-07-03,R04,51
EVT000485,RUN00099,M12,2024-07-03,R15,1
EVT000486,RUN00099,M12,2024-07-03,R06,19
EVT000487,RUN00099,M12,2024-07-03,R04,32
EVT000488,RUN00099,M12,2024-07-03,R10,9
EVT000489,RUN00100,M01,2024-07-04,R10,2
EVT000490,RUN00100,M01,2024-07-04,R14,3
EVT000491,RUN00100,M01,2024-07-04,R05,2
EVT000492,RUN00100,M01,2024-07-04,R05,37
EVT000493,RUN00100,M01,2024-07-04,R15,8
EVT000494,RUN00100,M01,2024-07-04,R06,15
EVT000495,RUN00100,M01,2024-07-04,R13,17
EVT000496,RUN00101,M03,2024-07-04,R07,44
EVT000497,RUN00102,M04,2024-07-04,R04,69
EVT000498,RUN00102,M04,2024-07-04,R07,2
EVT000499,RUN00102,M04,2024-07-04,R01,10
EVT000500,RUN00102,M04,2024-07-04,R11,9
EVT000501,RUN00102,M04,2024-07-04,R11,5
EVT000502,RUN00102,M04,2024-07-04,R06,1
EVT000503,RUN00102,M04,2024-07-04,R05,10
EVT000504,RUN00102,M04,2024-07-04,R01,6
EVT000505,RUN00102,M04,2024-07-04,R09,6
EVT000506,RUN00103,M05,2024-07-04,R03,24
EVT000507,RUN00103,M05,2024-07-04,R09,4
EVT000508,RUN00103,M05,2024-07-04,R09,13
EVT000509,RUN00104,M06,2024-07-04,R06,1
EVT000510,RUN00104,M06,2024-07-04,R01,32
EVT000511,RUN00104,M06,2024-07-04,R07,20
EVT000512,RUN00104,M06,2024-07-04,R10,14
EVT000513,RUN00105,M08,2024-07-04,R15,8
EVT000514,RUN00105,M08,2024-07-04,R06,22
EVT000515,RUN00105,M08,2024-07-04,R04,6
EVT000516,RUN00105,M08,2024-07-04,R12,1
